name;polygon
s23_e024_1arc_v3.se;POLYGON((24.5 -23.000138888888888,24.5 -22.5,25.000138888888888 -22.5,25.000138888888888 -23.000138888888888,24.5 -23.000138888888888))
s23_e024_1arc_v3.ne;POLYGON((24.5 -22.5,24.5 -21.99986111111111,25.000138888888888 -21.99986111111111,25.000138888888888 -22.5,24.5 -22.5))
s23_e025_1arc_v3.sw;POLYGON((24.99986111111111 -23.000138888888888,24.99986111111111 -22.5,25.5 -22.5,25.5 -23.000138888888888,24.99986111111111 -23.000138888888888))
s23_e025_1arc_v3.nw;POLYGON((24.99986111111111 -22.5,24.99986111111111 -21.99986111111111,25.5 -21.99986111111111,25.5 -22.5,24.99986111111111 -22.5))
s23_e025_1arc_v3.se;POLYGON((25.5 -23.000138888888888,25.5 -22.5,26.000138888888888 -22.5,26.000138888888888 -23.000138888888888,25.5 -23.000138888888888))
s23_e025_1arc_v3.ne;POLYGON((25.5 -22.5,25.5 -21.99986111111111,26.000138888888888 -21.99986111111111,26.000138888888888 -22.5,25.5 -22.5))
s23_e026_1arc_v3.sw;POLYGON((25.99986111111111 -23.000138888888888,25.99986111111111 -22.5,26.5 -22.5,26.5 -23.000138888888888,25.99986111111111 -23.000138888888888))
s23_e026_1arc_v3.nw;POLYGON((25.99986111111111 -22.5,25.99986111111111 -21.99986111111111,26.5 -21.99986111111111,26.5 -22.5,25.99986111111111 -22.5))
s23_e026_1arc_v3.se;POLYGON((26.5 -23.000138888888888,26.5 -22.5,27.000138888888888 -22.5,27.000138888888888 -23.000138888888888,26.5 -23.000138888888888))
s23_e026_1arc_v3.ne;POLYGON((26.5 -22.5,26.5 -21.99986111111111,27.000138888888888 -21.99986111111111,27.000138888888888 -22.5,26.5 -22.5))
s23_e027_1arc_v3.sw;POLYGON((26.99986111111111 -23.000138888888888,26.99986111111111 -22.5,27.5 -22.5,27.5 -23.000138888888888,26.99986111111111 -23.000138888888888))
s23_e027_1arc_v3.nw;POLYGON((26.99986111111111 -22.5,26.99986111111111 -21.99986111111111,27.5 -21.99986111111111,27.5 -22.5,26.99986111111111 -22.5))
s23_e027_1arc_v3.se;POLYGON((27.5 -23.000138888888888,27.5 -22.5,28.000138888888888 -22.5,28.000138888888888 -23.000138888888888,27.5 -23.000138888888888))
s23_e027_1arc_v3.ne;POLYGON((27.5 -22.5,27.5 -21.99986111111111,28.000138888888888 -21.99986111111111,28.000138888888888 -22.5,27.5 -22.5))
s23_e028_1arc_v3.sw;POLYGON((27.99986111111111 -23.000138888888888,27.99986111111111 -22.5,28.5 -22.5,28.5 -23.000138888888888,27.99986111111111 -23.000138888888888))
s23_e028_1arc_v3.nw;POLYGON((27.99986111111111 -22.5,27.99986111111111 -21.99986111111111,28.5 -21.99986111111111,28.5 -22.5,27.99986111111111 -22.5))
s23_e028_1arc_v3.se;POLYGON((28.5 -23.000138888888888,28.5 -22.5,29.000138888888888 -22.5,29.000138888888888 -23.000138888888888,28.5 -23.000138888888888))
s23_e028_1arc_v3.ne;POLYGON((28.5 -22.5,28.5 -21.99986111111111,29.000138888888888 -21.99986111111111,29.000138888888888 -22.5,28.5 -22.5))
s23_e029_1arc_v3.sw;POLYGON((28.99986111111111 -23.000138888888888,28.99986111111111 -22.5,29.5 -22.5,29.5 -23.000138888888888,28.99986111111111 -23.000138888888888))
s23_e029_1arc_v3.nw;POLYGON((28.99986111111111 -22.5,28.99986111111111 -21.99986111111111,29.5 -21.99986111111111,29.5 -22.5,28.99986111111111 -22.5))
s23_e029_1arc_v3.se;POLYGON((29.5 -23.000138888888888,29.5 -22.5,30.000138888888888 -22.5,30.000138888888888 -23.000138888888888,29.5 -23.000138888888888))
s23_e029_1arc_v3.ne;POLYGON((29.5 -22.5,29.5 -21.99986111111111,30.000138888888888 -21.99986111111111,30.000138888888888 -22.5,29.5 -22.5))
s23_e030_1arc_v3.sw;POLYGON((29.99986111111111 -23.000138888888888,29.99986111111111 -22.5,30.5 -22.5,30.5 -23.000138888888888,29.99986111111111 -23.000138888888888))
s23_e030_1arc_v3.nw;POLYGON((29.99986111111111 -22.5,29.99986111111111 -21.99986111111111,30.5 -21.99986111111111,30.5 -22.5,29.99986111111111 -22.5))
s23_e030_1arc_v3.se;POLYGON((30.5 -23.000138888888888,30.5 -22.5,31.000138888888888 -22.5,31.000138888888888 -23.000138888888888,30.5 -23.000138888888888))
s23_e030_1arc_v3.ne;POLYGON((30.5 -22.5,30.5 -21.99986111111111,31.000138888888888 -21.99986111111111,31.000138888888888 -22.5,30.5 -22.5))
s23_e031_1arc_v3.sw;POLYGON((30.99986111111111 -23.000138888888888,30.99986111111111 -22.5,31.499999999999996 -22.5,31.499999999999996 -23.000138888888888,30.99986111111111 -23.000138888888888))
s23_e031_1arc_v3.nw;POLYGON((30.99986111111111 -22.5,30.99986111111111 -21.99986111111111,31.499999999999996 -21.99986111111111,31.499999999999996 -22.5,30.99986111111111 -22.5))
s23_e031_1arc_v3.se;POLYGON((31.499999999999996 -23.000138888888888,31.499999999999996 -22.5,32.000138888888884 -22.5,32.000138888888884 -23.000138888888888,31.499999999999996 -23.000138888888888))
s23_e031_1arc_v3.ne;POLYGON((31.499999999999996 -22.5,31.499999999999996 -21.99986111111111,32.000138888888884 -21.99986111111111,32.000138888888884 -22.5,31.499999999999996 -22.5))
s23_e032_1arc_v3.sw;POLYGON((31.99986111111111 -23.000138888888888,31.99986111111111 -22.5,32.5 -22.5,32.5 -23.000138888888888,31.99986111111111 -23.000138888888888))
s23_e032_1arc_v3.nw;POLYGON((31.99986111111111 -22.5,31.99986111111111 -21.99986111111111,32.5 -21.99986111111111,32.5 -22.5,31.99986111111111 -22.5))
s23_e032_1arc_v3.se;POLYGON((32.5 -23.000138888888888,32.5 -22.5,33.000138888888884 -22.5,33.000138888888884 -23.000138888888888,32.5 -23.000138888888888))
s23_e032_1arc_v3.ne;POLYGON((32.5 -22.5,32.5 -21.99986111111111,33.000138888888884 -21.99986111111111,33.000138888888884 -22.5,32.5 -22.5))
s23_e033_1arc_v3.sw;POLYGON((32.99986111111111 -23.000138888888888,32.99986111111111 -22.5,33.5 -22.5,33.5 -23.000138888888888,32.99986111111111 -23.000138888888888))
s23_e033_1arc_v3.nw;POLYGON((32.99986111111111 -22.5,32.99986111111111 -21.99986111111111,33.5 -21.99986111111111,33.5 -22.5,32.99986111111111 -22.5))
s23_e033_1arc_v3.se;POLYGON((33.5 -23.000138888888888,33.5 -22.5,34.000138888888884 -22.5,34.000138888888884 -23.000138888888888,33.5 -23.000138888888888))
s23_e033_1arc_v3.ne;POLYGON((33.5 -22.5,33.5 -21.99986111111111,34.000138888888884 -21.99986111111111,34.000138888888884 -22.5,33.5 -22.5))
s23_e034_1arc_v3.sw;POLYGON((33.99986111111111 -23.000138888888888,33.99986111111111 -22.5,34.5 -22.5,34.5 -23.000138888888888,33.99986111111111 -23.000138888888888))
s23_e034_1arc_v3.nw;POLYGON((33.99986111111111 -22.5,33.99986111111111 -21.99986111111111,34.5 -21.99986111111111,34.5 -22.5,33.99986111111111 -22.5))
s23_e034_1arc_v3.se;POLYGON((34.5 -23.000138888888888,34.5 -22.5,35.000138888888884 -22.5,35.000138888888884 -23.000138888888888,34.5 -23.000138888888888))
s23_e034_1arc_v3.ne;POLYGON((34.5 -22.5,34.5 -21.99986111111111,35.000138888888884 -21.99986111111111,35.000138888888884 -22.5,34.5 -22.5))
s23_e035_1arc_v3.sw;POLYGON((34.99986111111111 -23.000138888888888,34.99986111111111 -22.5,35.5 -22.5,35.5 -23.000138888888888,34.99986111111111 -23.000138888888888))
s23_e035_1arc_v3.nw;POLYGON((34.99986111111111 -22.5,34.99986111111111 -21.99986111111111,35.5 -21.99986111111111,35.5 -22.5,34.99986111111111 -22.5))
