bytes,name,curve,compression,bittransposed
8873301,s22_e014_1arc_v3.se,Gray,RLE,False
2825876,s22_e014_1arc_v3.se,Raster,GZIP,False
3006226,s22_e014_1arc_v3.se,Hilbert,BWT77,False
1961660,s22_e014_1arc_v3.se,Hilbert,BWTW,False
1452478,s22_e014_1arc_v3.se,Hilbert,BZIP2,False
2391246,s22_e014_1arc_v3.se,Hilbert,GZIP,False
7128778,s22_e014_1arc_v3.se,Hilbert,HFF,False
3324448,s22_e014_1arc_v3.se,Hilbert,LZ77,False
2803258,s22_e014_1arc_v3.se,Hilbert,LZO,False
2740331,s22_e014_1arc_v3.se,Hilbert,LZW,False
8272146,s22_e014_1arc_v3.se,Hilbert,RLE,False
7128778,s22_e014_1arc_v3.se,Raster,HFF,False
3595211,s22_e014_1arc_v3.se,Raster,LZ77,False
3343736,s22_e014_1arc_v3.se,Raster,LZO,False
5117324,s22_e014_1arc_v3.se,Raster,LZW,False
3338752,s22_e014_1arc_v3.se,Morton,BWT77,False
2261742,s22_e014_1arc_v3.se,Morton,BWTW,False
1659973,s22_e014_1arc_v3.se,Morton,BZIP2,False
2612110,s22_e014_1arc_v3.se,Morton,GZIP,False
7128778,s22_e014_1arc_v3.se,Morton,HFF,False
3641530,s22_e014_1arc_v3.se,Morton,LZ77,False
2990185,s22_e014_1arc_v3.se,Morton,LZO,False
3023224,s22_e014_1arc_v3.se,Morton,LZW,False
8910276,s22_e014_1arc_v3.se,Morton,RLE,False
8218383,s22_e014_1arc_v3.se,Raster,RLE,False
2883748,s22_e014_1arc_v3.sw,Raster,BWT77,False
1894657,s22_e014_1arc_v3.sw,Raster,BWTW,False
1335800,s22_e014_1arc_v3.sw,Raster,BZIP2,False
3221269,s22_e014_1arc_v3.sw,Gray,BWT77,False
2211570,s22_e014_1arc_v3.sw,Gray,BWTW,False
1617218,s22_e014_1arc_v3.sw,Gray,BZIP2,False
2467120,s22_e014_1arc_v3.sw,Gray,GZIP,False
6737740,s22_e014_1arc_v3.sw,Gray,HFF,False
3450877,s22_e014_1arc_v3.sw,Gray,LZ77,False
2836214,s22_e014_1arc_v3.sw,Gray,LZO,False
2761913,s22_e014_1arc_v3.sw,Gray,LZW,False
8500635,s22_e014_1arc_v3.sw,Gray,RLE,False
2695446,s22_e014_1arc_v3.sw,Raster,GZIP,False
2838795,s22_e014_1arc_v3.sw,Hilbert,BWT77,False
1871539,s22_e014_1arc_v3.sw,Hilbert,BWTW,False
1377747,s22_e014_1arc_v3.sw,Hilbert,BZIP2,False
2224512,s22_e014_1arc_v3.sw,Hilbert,GZIP,False
6737740,s22_e014_1arc_v3.sw,Hilbert,HFF,False
3099200,s22_e014_1arc_v3.sw,Hilbert,LZ77,False
2635640,s22_e014_1arc_v3.sw,Hilbert,LZO,False
2483970,s22_e014_1arc_v3.sw,Hilbert,LZW,False
7971297,s22_e014_1arc_v3.sw,Hilbert,RLE,False
6737740,s22_e014_1arc_v3.sw,Raster,HFF,False
3426571,s22_e014_1arc_v3.sw,Raster,LZ77,False
3204575,s22_e014_1arc_v3.sw,Raster,LZO,False
4656943,s22_e014_1arc_v3.sw,Raster,LZW,False
3129615,s22_e014_1arc_v3.sw,Morton,BWT77,False
2132530,s22_e014_1arc_v3.sw,Morton,BWTW,False
1563323,s22_e014_1arc_v3.sw,Morton,BZIP2,False
2457159,s22_e014_1arc_v3.sw,Morton,GZIP,False
6737740,s22_e014_1arc_v3.sw,Morton,HFF,False
3413260,s22_e014_1arc_v3.sw,Morton,LZ77,False
2824473,s22_e014_1arc_v3.sw,Morton,LZO,False
2763533,s22_e014_1arc_v3.sw,Morton,LZW,False
8544504,s22_e014_1arc_v3.sw,Morton,RLE,False
7917645,s22_e014_1arc_v3.sw,Raster,RLE,False
2294067,s22_e025_1arc_v3.ne,Raster,BWT77,False
1325545,s22_e025_1arc_v3.ne,Raster,BWTW,False
1002840,s22_e025_1arc_v3.ne,Raster,BZIP2,False
2484370,s22_e025_1arc_v3.ne,Gray,BWT77,False
1536867,s22_e025_1arc_v3.ne,Gray,BWTW,False
1142098,s22_e025_1arc_v3.ne,Gray,BZIP2,False
1593940,s22_e025_1arc_v3.ne,Gray,GZIP,False
6195009,s22_e025_1arc_v3.ne,Gray,HFF,False
2468064,s22_e025_1arc_v3.ne,Gray,LZ77,False
2019059,s22_e025_1arc_v3.ne,Gray,LZO,False
1763204,s22_e025_1arc_v3.ne,Gray,LZW,False
6604575,s22_e025_1arc_v3.ne,Gray,RLE,False
1561307,s22_e025_1arc_v3.ne,Raster,GZIP,False
2299335,s22_e025_1arc_v3.ne,Hilbert,BWT77,False
1339201,s22_e025_1arc_v3.ne,Hilbert,BWTW,False
1008727,s22_e025_1arc_v3.ne,Hilbert,BZIP2,False
1440032,s22_e025_1arc_v3.ne,Hilbert,GZIP,False
6195009,s22_e025_1arc_v3.ne,Hilbert,HFF,False
2308264,s22_e025_1arc_v3.ne,Hilbert,LZ77,False
1860003,s22_e025_1arc_v3.ne,Hilbert,LZO,False
1594811,s22_e025_1arc_v3.ne,Hilbert,LZW,False
5962155,s22_e025_1arc_v3.ne,Hilbert,RLE,False
6195009,s22_e025_1arc_v3.ne,Raster,HFF,False
2472332,s22_e025_1arc_v3.ne,Raster,LZ77,False
2054084,s22_e025_1arc_v3.ne,Raster,LZO,False
2145962,s22_e025_1arc_v3.ne,Raster,LZW,False
2440933,s22_e025_1arc_v3.ne,Morton,BWT77,False
1493288,s22_e025_1arc_v3.ne,Morton,BWTW,False
1108875,s22_e025_1arc_v3.ne,Morton,BZIP2,False
1546149,s22_e025_1arc_v3.ne,Morton,GZIP,False
6195009,s22_e025_1arc_v3.ne,Morton,HFF,False
2417285,s22_e025_1arc_v3.ne,Morton,LZ77,False
1980393,s22_e025_1arc_v3.ne,Morton,LZO,False
1705119,s22_e025_1arc_v3.ne,Morton,LZW,False
6664569,s22_e025_1arc_v3.ne,Morton,RLE,False
5897475,s22_e025_1arc_v3.ne,Raster,RLE,False
2555468,s22_e025_1arc_v3.nw,Raster,BWT77,False
1569878,s22_e025_1arc_v3.nw,Raster,BWTW,False
1168704,s22_e025_1arc_v3.nw,Raster,BZIP2,False
2774641,s22_e025_1arc_v3.nw,Gray,BWT77,False
1795030,s22_e025_1arc_v3.nw,Gray,BWTW,False
1328413,s22_e025_1arc_v3.nw,Gray,BZIP2,False
1798796,s22_e025_1arc_v3.nw,Gray,GZIP,False
5775855,s22_e025_1arc_v3.nw,Gray,HFF,False
2708335,s22_e025_1arc_v3.nw,Gray,LZ77,False
2293516,s22_e025_1arc_v3.nw,Gray,LZO,False
1943370,s22_e025_1arc_v3.nw,Gray,LZW,False
7689489,s22_e025_1arc_v3.nw,Gray,RLE,False
1701781,s22_e025_1arc_v3.nw,Raster,GZIP,False
2567879,s22_e025_1arc_v3.nw,Hilbert,BWT77,False
1591633,s22_e025_1arc_v3.nw,Hilbert,BWTW,False
1185653,s22_e025_1arc_v3.nw,Hilbert,BZIP2,False
1649257,s22_e025_1arc_v3.nw,Hilbert,GZIP,False
5775855,s22_e025_1arc_v3.nw,Hilbert,HFF,False
2553706,s22_e025_1arc_v3.nw,Hilbert,LZ77,False
2142804,s22_e025_1arc_v3.nw,Hilbert,LZO,False
1781470,s22_e025_1arc_v3.nw,Hilbert,LZW,False
7112595,s22_e025_1arc_v3.nw,Hilbert,RLE,False
5775855,s22_e025_1arc_v3.nw,Raster,HFF,False
2650299,s22_e025_1arc_v3.nw,Raster,LZ77,False
2254823,s22_e025_1arc_v3.nw,Raster,LZO,False
2088988,s22_e025_1arc_v3.nw,Raster,LZW,False
2727782,s22_e025_1arc_v3.nw,Morton,BWT77,False
1753427,s22_e025_1arc_v3.nw,Morton,BWTW,False
1291238,s22_e025_1arc_v3.nw,Morton,BZIP2,False
1761046,s22_e025_1arc_v3.nw,Morton,GZIP,False
5775855,s22_e025_1arc_v3.nw,Morton,HFF,False
2661742,s22_e025_1arc_v3.nw,Morton,LZ77,False
2268369,s22_e025_1arc_v3.nw,Morton,LZO,False
1893826,s22_e025_1arc_v3.nw,Morton,LZW,False
7754607,s22_e025_1arc_v3.nw,Morton,RLE,False
7069137,s22_e025_1arc_v3.nw,Raster,RLE,False
2525227,s22_e025_1arc_v3.se,Raster,BWT77,False
1483899,s22_e025_1arc_v3.se,Raster,BWTW,False
1118976,s22_e025_1arc_v3.se,Raster,BZIP2,False
2705011,s22_e025_1arc_v3.se,Gray,BWT77,False
1685707,s22_e025_1arc_v3.se,Gray,BWTW,False
1252923,s22_e025_1arc_v3.se,Gray,BZIP2,False
1689297,s22_e025_1arc_v3.se,Gray,GZIP,False
5801627,s22_e025_1arc_v3.se,Gray,HFF,False
2644303,s22_e025_1arc_v3.se,Gray,LZ77,False
2190522,s22_e025_1arc_v3.se,Gray,LZO,False
1823488,s22_e025_1arc_v3.se,Gray,LZW,False
7460439,s22_e025_1arc_v3.se,Gray,RLE,False
1709580,s22_e025_1arc_v3.se,Raster,GZIP,False
2537384,s22_e025_1arc_v3.se,Hilbert,BWT77,False
1505206,s22_e025_1arc_v3.se,Hilbert,BWTW,False
1131402,s22_e025_1arc_v3.se,Hilbert,BZIP2,False
1539562,s22_e025_1arc_v3.se,Hilbert,GZIP,False
5801627,s22_e025_1arc_v3.se,Hilbert,HFF,False
2495311,s22_e025_1arc_v3.se,Hilbert,LZ77,False
2030684,s22_e025_1arc_v3.se,Hilbert,LZO,False
1655068,s22_e025_1arc_v3.se,Hilbert,LZW,False
6823695,s22_e025_1arc_v3.se,Hilbert,RLE,False
5801627,s22_e025_1arc_v3.se,Raster,HFF,False
2690018,s22_e025_1arc_v3.se,Raster,LZ77,False
2272165,s22_e025_1arc_v3.se,Raster,LZO,False
2281416,s22_e025_1arc_v3.se,Raster,LZW,False
